MsgID.STATE,1529058544.8144209,False,False
MsgID.LOCAL_VELOCITY,1529058559.9287128,-0.0000077,0.0000223,0.0000090
MsgID.GLOBAL_POSITION,1529058560.1758411,-122.3973349,37.7925716,0.0490000
MsgID.LOCAL_VELOCITY,1529058560.1758411,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058560.1785119,10.1809006,10.2308464,-0.0491399
MsgID.LOCAL_VELOCITY,1529058560.1785119,0.0000013,0.0000149,0.0000048
MsgID.GLOBAL_POSITION,1529058560.4268069,-122.3973376,37.7925716,0.0410000
MsgID.LOCAL_VELOCITY,1529058560.4268069,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058560.4289100,10.1817780,9.9877014,-0.0418204
MsgID.LOCAL_VELOCITY,1529058560.4289100,0.0000008,0.0000059,0.0000083
MsgID.GLOBAL_POSITION,1529058560.6756899,-122.3973355,37.7925720,0.0450000
MsgID.LOCAL_VELOCITY,1529058560.6756899,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058560.6779342,10.2224817,10.1691847,-0.0453792
MsgID.LOCAL_VELOCITY,1529058560.6779342,-0.0000117,0.0000036,0.0000022
MsgID.STATE,1529058560.9174650,True,True
MsgID.GLOBAL_HOME,1529058560.9176431,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058560.9259851,-122.3973350,37.7925715,0.0580000
MsgID.LOCAL_VELOCITY,1529058560.9259851,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058560.9280901,10.1699781,10.2135601,-0.0586628
MsgID.LOCAL_VELOCITY,1529058560.9280901,0.0000130,0.0000146,0.0000056
MsgID.GLOBAL_POSITION,1529058561.1777530,-122.3973362,37.7925705,0.0770000
MsgID.LOCAL_VELOCITY,1529058561.1777530,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058561.1780171,10.0658665,10.1132221,-0.0773805
MsgID.LOCAL_VELOCITY,1529058561.1780171,-0.0000057,0.0000140,0.0000104
MsgID.GLOBAL_POSITION,1529058561.4266710,-122.3973362,37.7925700,0.0950000
